modèle,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
EC-Earth3-Veg,59532567.45759881,58278931.70357249,54106182.57985758,45314979.80187726,32908392.52893436,18314430.943040926,6660904.027422655,6732383.936528845,17077684.335394185,35084174.56111115,49502512.54818286,57188906.326266944
CNRM-ESM2-1,53699647.73745192,53406180.26463486,46546059.06289035,32661670.002627213,16403215.044368401,5168239.079084108,2816770.1569706197,2508563.622089812,4445376.9896611385,16225897.276320655,33316758.76151581,47198218.61478937
MIROC6,52660196.72386865,50945702.821890675,45087763.53889771,33498081.011451237,17742174.292573284,4154948.3974263947,1295354.7310158017,1682479.6241088212,5691421.488776543,20374771.090838853,35956819.917492084,47898515.703651756
CIESM,47723947.304960154,46345451.44734989,40335309.44138788,29149809.587215412,16608088.286098812,5306690.853733637,1942933.7811423151,1509077.5015370487,2631250.6788629205,13523167.701943105,30923558.97304868,42995489.40154745
CNRM-CM6-1-HR,54244195.523406036,54118724.12381307,47914149.03256947,33321736.26824335,17056873.52537336,6009407.875204488,3486442.161816475,3384403.933297687,6117203.0143499365,18748444.29390398,36136902.48528438,48753303.4234666
GISS-E2-1-G,45851482.69546888,45628235.76352195,42699674.8247709,35995345.19282762,26189350.128580447,13959783.331504341,6963901.771119963,6347500.271162196,10506583.889843721,21998827.541395675,34435959.24245653,42478189.98761119
CanESM5-CanOE,49990349.82699886,50843552.39589896,47003030.619199045,37497242.402286865,23216673.679914787,9372790.658444693,3762654.657659072,3022692.281281926,5274633.35533857,16944311.382817052,33210031.06484677,44491640.48677764
FGOALS-f3-L,49584478.31232125,48239471.40519875,43580949.5196056,34006462.98921018,20850609.70801316,8353003.160433479,3384453.299811742,3014582.3169060014,6907340.199219226,20982216.99139563,35854977.57315158,45400548.53503043
MRI-ESM2-0,47254529.47680678,46755673.7102234,42605215.159716345,34995671.12547884,21709918.49765211,7610591.426487765,3114783.4479605984,2589218.6975731556,4384045.392033999,15466577.574545529,32018094.48359449,42433484.74792691
NorESM2-LM,46138411.8923134,45848980.206712425,40769861.526391044,31424751.87141076,19855376.87017914,10920330.6712057,5662917.690722299,4244550.431606034,5785221.736396279,15704538.04396458,29430200.08064846,40332460.34603504
EC-Earth3,59998244.383984156,58953864.192571655,54518525.50656804,45891709.40840483,33388277.953158196,19589662.71813391,7544347.748565167,7344999.141054303,17314070.932612658,35377448.126809545,49136634.71157646,57755720.97973505
FGOALS-g3,49616789.37442095,49536987.90077428,45095824.15420579,36002745.229043044,22146477.475588273,10418585.218970204,5680343.155994873,5205844.079373825,7960247.163562264,19854497.54656889,34641645.33416983,45160929.457852684
BCC-CSM2-MR,44373746.08872143,44552932.09814849,41193897.371259525,33091211.296027005,21241930.167132005,9921410.96353975,5103984.160622828,4124142.9026280423,5976217.314813019,16158221.922620486,28392274.14817702,39030064.97171247
MIROC-ES2L,52464403.53041368,51158211.089215726,44024957.0809263,31748188.63830703,17453375.721613813,3291571.024399466,1170534.3583979285,1782714.0658199496,6635453.5652441,20442952.87438786,36186493.57386261,47857601.8468161
IPSL-CM6A-LR,50631820.39966974,49820916.09052228,44322538.81419845,32387362.88001317,16453529.493841067,6659041.6557405535,4814386.910571572,4667036.385327153,6063171.380654219,17214375.244247362,33691015.9235258,45449160.23219088
MPI-ESM1-2-LR,31251024.758967463,31813660.303110186,28202785.08130873,20673690.28020985,10389557.918321354,2952667.33857501,2673533.404735319,2709464.8247020543,3524088.6819028803,9541666.727587223,18789176.29954356,27100791.21686845
CNRM-CM6-1,55821318.20964613,55785478.770443365,48562254.92221493,33406143.027501725,17368459.630832452,5657832.239575698,3136854.784028666,2885529.44373435,5029636.4222335275,17365538.54626058,35534535.057783425,49134154.5325957
NorESM2-MM,46165375.1437036,45904230.17789321,40871667.91947932,30867512.580820378,19241037.051770236,10509694.082196647,6135272.164712057,4861130.116507915,6968939.05410531,17175487.981070258,30052324.470796853,40270454.084995605
UKESM1-0-LL,49179152.81921349,47581952.730597556,43322293.5592791,33645347.230642475,21844434.244963706,11397027.511124771,3728454.6199267316,4669178.117748848,13271039.754455432,24864533.65639655,38740443.17339467,47078895.27809063
HadGEM3-GC31-LL,51957904.66512664,51798571.98432404,48285524.17094235,37784346.56406131,23998700.379058067,9343107.257231113,3506866.225607956,4125202.47006712,12339148.099370325,29116627.29561551,42474091.748468444,49898186.13450303
CanESM5,49815466.45001311,50758678.591061145,46597043.11899264,36731964.36119152,22770912.656819843,9093042.38702341,3651710.3627125435,3057670.2643933953,5027468.728717743,16604505.257952558,32498867.26513574,43620056.11728722
CESM2-WACCM,44828597.02901837,45262810.37162621,40140563.65750002,30244751.54568256,18585419.888645478,9614280.803187665,4681767.435250605,3305975.359208376,5391869.983437982,15439797.666998748,27729551.782610916,38848351.014477186
CESM2,45216181.93002849,45051558.9295303,39354482.633908786,28760522.065472763,17296116.62104878,8956349.01756649,4508116.334031077,3205742.905385782,5010174.051894274,14828405.071580894,28077825.883693133,38942323.91710889
MPI-ESM1-2-HR,31700025.038780067,31744757.857005525,27200100.608105235,19126849.221444994,8805412.194051683,2761378.183676536,2581151.8916355604,2612188.5972039555,3544742.6337253097,9695167.008338956,19861604.17684871,27616886.00493625
GFDL-CM4,39837100.69519952,39477353.33258587,35065404.429989055,25396024.702371117,13515757.300237631,4533646.992194842,1807655.1820949207,1768056.2798795525,4256305.572674777,14353763.856172977,26606064.897180777,36024073.13079882
